datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
30/04/16,166.6100000000001,146.52600000000007,147.7,998.3370000000003,318,18,216,162.39999999999998
31/05/16,167.36000000000007,120.86099999999996,130.54999999999995,997.1500000000003,275,18,131,137.10000000000002
30/06/16,169.67000000000002,114.961,117.75,760.05,311,20,127,134.8
31/07/16,203.97000000000017,141.01900000000003,137.89999999999998,652.3619999999999,240,8,109,116.83
31/08/16,211.13000000000017,114.37499999999997,132.7,753.0500000000002,275.5,12,116,85.3
30/09/16,172.96000000000004,126.21799999999995,116.7,1118.699,307,18,121,69.3
31/10/16,186.7600000000001,142.0560000000001,160.15,1617.275000000001,312,11,220,60.9
30/11/16,175.18000000000012,116.84999999999997,133.85000000000002,1062.6860000000004,246,27,150,51.199999999999996
31/12/16,169.32000000000002,135.05600000000004,132.39999999999998,1624.3350000000003,257,18,275,34.9
31/01/17,0,0,0,0,0,0,0,0
28/02/17,139.69000000000003,103.51700000000001,97,526.3500000000001,144,7,117,30.6
31/03/17,162.85000000000002,111.055,107.35000000000001,612.5000000000002,165,9,139,100.1
30/04/17,155.61000000000004,101.21500000000002,100.5,540.1999999999998,132,9,209,122.39999999999999
31/05/17,143.66,118.12500000000006,98.95,547.9399999999998,148,23,128,161.81
30/06/17,122.33,103.00599999999999,119.6,496.1,163,8,163,151.89999999999998
31/07/17,159.67,116.20600000000003,75.19999999999999,479.34999999999997,219,15,115,81.1
31/08/17,170.14999999999998,112.47,84.4,549.3,239,12,75,60.1
30/09/17,138.33,118.71100000000004,88.14999999999998,863.7500000000002,223,23,139,66.9
31/10/17,137.64000000000001,88.737,100.39999999999999,1184.3500000000004,226,15,247,51
30/11/17,163.85000000000005,119.78000000000003,104.45,867.8990000000001,192,15,196,46.599999999999994
31/12/17,160.01000000000002,121.66300000000003,115.14999999999999,1007.1800000000001,226,6,204,47.1
31/01/18,132.28,109.44599999999998,101.14999999999999,1134.325,229,11,219,49.5
28/02/18,128.36,132.80400000000014,114.65000000000002,1255.3740000000007,268,12,253,39.06
31/03/18,146.16,111.76400000000001,122.30000000000001,999.1230000000004,381,42,269,85.5
30/04/18,170.02000000000007,107.72300000000001,84.60000000000001,836.0369999999999,289,21,229,197.1
31/05/18,160.52000000000004,103.52199999999999,89.39999999999999,644.6480000000004,259,13,192,213.04000000000002
30/06/18,141.18,114.22600000000004,86.80000000000001,584.343,248,18,101,120.8
31/07/18,150.18,132.54900000000006,87.2,679.3499999999999,283,19,90,122.2
31/08/18,140.00000000000003,114.71900000000005,88.25,733.838,253,20,159,103.1
30/09/18,153.52,114.99200000000008,86.5,1058.2620000000002,263,12,205,88.10000000000001
31/10/18,144.71000000000004,129.4000000000001,76.05000000000001,1129.2749999999999,287,25,353,76.9
30/11/18,172.29000000000005,105.48700000000004,102.14999999999999,995.15,252.2,22,311,48.400000000000006
31/12/18,147.71000000000004,113.02400000000011,84.75,1213.95,254,27,384,53.099999999999994
31/01/19,179.70000000000007,222.35100000000017,99.69999999999999,1660.6120000000012,295.2,23,386,41.3
28/02/19,133.73000000000002,142.15500000000014,110.19999999999996,1001.2120000000003,249.39999999999998,12,226,69.5
31/03/19,154.52000000000004,113.11800000000004,83.35000000000001,941.05,301.4,19,257,169.49999999999997
30/04/19,161.39000000000004,100.16500000000005,88.1,647.6500000000002,299.4,22,259,179.10000000000002
31/05/19,168.04000000000005,97.25800000000004,104.1,703.5620000000001,265.79999999999995,26,322,135.4
30/06/19,151.5400000000001,101.62700000000005,103.2,609.9999999999999,193,25,142,156.04
31/07/19,181,103.54100000000005,92.8,649.8,250.60000000000002,20,115,105.2
31/08/19,181.91000000000008,88.26900000000003,84.19999999999999,518.0999999999999,237,26,145,97.3
30/09/19,161.07000000000005,111.43700000000007,93.49999999999999,984.4799999999999,227.79999999999998,16,161,109.1
31/10/19,44.370000000000005,37.3,20.65,295.15000000000003,86,7,37,11.129999999999999
